TUCASEID,TR1INTST,TR2INTST,TRFNLOUT,TRINCEN2,TUAVGDUR,TUA_ID,TUCPSDP,TUC_ID,TUDQUAL2,TUINCENT,TUINTDQUAL,TUINTID,TUINTRODATE,TUINTROPANMONTH,TUINTROPANYEAR,TULNGSKL,TUTOTACTNO,TUV_ID
20170101170002,1,1,001.001,0,75.8,-1,1,CE42,-1,1,2,QQ87,30,01,2017,0,19,CY42
20170101170012,1,1,001.001,0,51.4,KP94,1,CE42,-1,1,2,CV97,29,01,2017,0,28,CN75
20170101170027,1,1,001.001,0,65.5,-1,2,CY42,-1,1,2,QQ94,26,01,2017,0,22,CN74
20170101170030,1,1,001.001,0,75.8,KP94,1,CY42,-1,1,2,QQ71,24,01,2017,0,19,CU96
20170101170033,1,1,001.001,0,75.8,-1,1,CN80,-1,1,2,QQ80,29,01,2017,0,19,CU96
20170101170074,4,7,195.001,0,-1,-1,2,-1,-1,1,-1,QQ85,31,01,2017,0,-1,-1
20170101170079,1,1,001.001,0,110.8,KP94,1,CY42,-1,1,2,QQ87,29,01,2017,0,13,CN75
20170101170081,4,7,195.001,0,-1,-1,1,-1,-1,1,-1,LL95,28,01,2017,0,-1,-1
20170101170090,1,1,001.001,0,120,KP94,2,CN75,-1,1,2,WW97,31,01,2017,0,12,CN94
20170101170149,1,1,001.001,0,75.8,KP94,1,CY42,-1,1,2,QQ71,25,01,2017,0,19,CU96
20170101170520,1,1,001.001,0,40,-1,2,CY42,-1,0,2,WW97,30,01,2017,0,36,CU86
20170101170521,1,1,001.001,0,36,-1,1,CE42,-1,0,2,WW98,28,01,2017,0,40,CU86
20170101170522,1,1,001.001,0,60,-1,1,CU96,-1,0,2,II96,30,01,2017,0,24,CE42
20170101170539,1,1,001.001,0,42.4,-1,1,CU96,-1,0,2,CV97,29,01,2017,0,34,CY42
20170101170551,1,1,001.001,0,53.3,-1,1,CN80,-1,0,2,VV82,31,01,2017,0,27,CY42
20170101170552,1,1,001.001,0,62.6,KP94,1,CN94,-1,0,2,QQ71,31,01,2017,0,23,CY14
20170101170572,1,1,001.001,0,96,-1,1,CY42,-1,0,2,II98,25,01,2017,0,15,CN74
20170101170574,1,1,001.001,0,72,KP94,2,CU96,-1,0,2,QQ72,23,01,2017,0,20,CV85
20170101170578,1,1,001.001,0,120,-1,1,CU96,-1,0,2,CV97,30,01,2017,0,12,CY19
20170101170595,1,1,001.001,0,37.9,KP94,1,CU96,-1,0,2,WW97,30,01,2017,0,38,CY42
20170101170596,1,1,001.001,0,62.6,KP94,2,CN79,-1,0,-1,VV89,23,01,2017,1,23,CV85
20170101170598,1,1,001.001,0,90,KP94,2,CY14,-1,0,2,QQ94,23,01,2017,0,16,CN75
20170101170612,1,1,001.001,0,84.7,CU60,1,CY19,-1,0,2,CV97,01,02,2017,0,17,CV85
20170101170615,1,1,001.001,0,288,-1,1,CY19,-1,0,2,QQ82,24,01,2017,0,5,CE42
20170101170639,1,1,001.001,0,90,-1,1,CV85,-1,0,2,QQ82,30,01,2017,0,16,CY14
20170101170644,2,3,230.001,0,360,-1,1,CY19,-1,0,2,WW97,24,01,2017,0,4,CU86
20170101170651,1,1,001.001,0,90,-1,1,CY19,-1,0,2,QQ71,25,01,2017,0,16,CU86
20170101170668,1,1,001.001,0,57.6,-1,1,CY19,-1,0,2,II96,23,01,2017,0,25,CY14
20170101170687,1,1,001.001,0,49.7,CU60,1,CN74,-1,0,2,WW97,23,01,2017,0,29,CU86
20170101170688,1,1,001.001,0,130.9,-1,2,CV85,-1,0,2,QQ83,23,01,2017,0,11,CE42
20170101170710,1,1,001.001,0,205.7,-1,2,CY14,-1,0,2,QQ75,29,01,2017,0,7,CY19
20170101170714,1,1,001.001,0,51.4,-1,2,CU86,-1,0,2,QQ86,23,01,2017,0,28,CN75
20170101170726,1,1,001.001,0,80,CU60,1,CE42,-1,0,2,CR05,29,01,2017,0,18,CY19
20170101170757,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,CV97,29,01,2017,0,-1,-1
20170101170764,3,6,020.015,0,-1,-1,2,-1,-1,0,-1,II96,23,01,2017,0,-1,-1
20170101170789,1,1,001.001,0,130.9,CU60,1,CN75,-1,0,2,WW98,23,01,2017,0,11,CE42
20170101170793,1,1,001.001,0,80,-1,1,CY14,-1,0,2,QQ83,23,01,2017,0,18,CU86
20170101170795,1,1,001.001,0,55.4,-1,1,CE42,-1,0,2,II96,29,01,2017,0,26,CU86
20170101170799,1,1,001.001,0,205.7,-1,2,CU86,-1,0,2,LL97,26,01,2017,0,7,CV85
20170101170801,1,1,001.001,0,57.6,CU60,1,CU86,-1,0,2,QQ82,26,01,2017,0,25,CY19
20170101170805,1,1,001.001,0,120,CU60,1,CV85,-1,0,2,II96,30,01,2017,0,12,CN79
20170101170806,1,1,001.001,0,96,CU60,2,CV85,-1,0,2,QQ71,28,01,2017,0,15,CU86
20170101170819,1,1,001.001,0,55.4,-1,1,CN79,-1,0,2,QQ94,27,01,2017,0,26,CE42
20170101170830,1,1,001.001,0,57.6,CU60,1,CN79,-1,0,2,QQ79,24,01,2017,0,25,CE42
20170101170833,1,1,001.001,0,110.8,CU60,1,CN94,-1,0,2,QQ87,24,01,2017,0,13,CY19
20170101170834,1,1,001.001,0,84.7,CU60,1,CY19,-1,0,2,QQ71,28,01,2017,0,17,CV85
20170101170836,1,1,001.001,0,110.8,CU60,1,CE42,-1,0,2,ZS92,25,01,2017,0,13,CV85
20170101170842,1,1,001.001,0,102.9,-1,2,CU86,-1,0,2,WW99,28,01,2017,0,14,CY19
20170101170843,2,3,231.001,0,90,-1,2,CV85,-1,0,2,WW97,23,01,2017,0,16,CY19
20170101170848,1,1,001.001,0,46.5,CU60,1,CY19,-1,0,2,WW97,23,01,2017,0,31,CV85
20170101170855,1,1,001.001,0,90,-1,1,CE42,-1,0,2,QQ72,23,01,2017,0,16,CV85
20170101170866,1,1,001.001,0,51.4,-1,1,CE42,-1,0,2,ZI99,24,01,2017,0,28,CV85
20170101170877,1,1,001.001,0,29.4,CU60,2,CE42,-1,0,2,II92,28,01,2017,0,49,CN87
20170101170887,1,1,001.001,0,80,-1,2,CU86,-1,0,2,VV82,26,01,2017,0,18,CY19
20170101170897,2,3,230.001,0,360,-1,1,CU86,-1,0,2,WW97,25,01,2017,0,4,CN75
20170101170902,1,1,001.001,0,60,CU60,1,CU86,-1,0,2,II96,29,01,2017,0,24,CE42
20170101170916,3,6,021.003,0,-1,-1,1,-1,-1,0,-1,II98,31,01,2017,0,-1,-1
20170101170920,1,1,001.001,0,36.9,-1,1,CU86,-1,0,2,WW98,29,01,2017,0,39,CN75
20170101170921,1,1,001.001,0,96,-1,1,CU86,-1,0,2,WW98,26,01,2017,0,15,CE42
20170101170924,1,1,001.001,0,205.7,-1,1,CU86,-1,0,2,QQ86,30,01,2017,0,7,CE42
20170101170928,1,1,001.001,0,180,-1,1,CU86,-1,0,2,WW97,31,01,2017,0,8,CN79
20170101170933,1,1,001.001,0,72,CU60,1,CU86,-1,0,2,QQ73,29,01,2017,0,20,CN79
20170101170951,1,1,001.001,0,120,-1,1,CU86,-1,0,2,QQ87,01,02,2017,0,12,CE42
20170101170952,1,1,001.001,0,84.7,CU60,2,CU86,-1,0,2,II92,23,01,2017,0,17,CN79
20170101170966,2,5,021.002,0,-1,-1,2,-1,-1,0,-1,KP77,23,01,2017,0,-1,-1
20170101170970,1,1,001.001,0,43.6,-1,1,CN79,-1,0,2,WW97,24,01,2017,0,33,CU86
