TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20190101190057,60,4,47,5,0,3,-1,0,0,0,0
20190101190057,36,1,24,-1,1,2,2,0,0,0,-1
20190101190107,60,2,20,-1,1,2,2,0,0,0,-1
20190101190607,70,4,56,2,0,2,-1,0,0,0,0
20190101190755,74,1,56,-1,0,8,-1,0,0,0,-1
20190101190755,74,1,56,-1,0,9,-1,0,0,0,-1
20190101190760,85,4,38,3,0,3,-1,0,0,0,0
20190101190778,64,2,33,-1,0,3,-1,0,0,0,-1
20190101190778,66,2,34,-1,0,4,-1,0,0,0,-1
20190101190790,80,3,34,-1,0,3,-1,60,0,0,-1
20190101190855,50,2,44,-1,0,2,-1,0,0,0,-1
20190101190877,85,4,24,11,1,3,3,0,0,0,0
20190101191042,65,1,33,-1,0,4,-1,0,0,0,-1
20190101191042,70,1,43,-1,0,5,-1,0,0,0,-1
20190101191054,80,4,33,4,0,2,-1,60,0,0,0
20190101191054,85,4,34,4,0,3,-1,0,0,0,0
20190101191219,80,4,24,2,1,2,2,0,0,0,0
20190101191238,65,4,24,2,1,6,6,0,0,0,0
20190101191325,85,1,24,-1,1,7,7,0,0,0,-1
20190101191418,85,4,40,2,0,3,-1,60,42,0,42
20190101191420,85,4,56,10,0,2,-1,60,0,0,0
20190101191442,71,3,24,-1,1,5,5,0,0,0,-1
20190101191850,76,1,43,-1,0,2,-1,0,0,0,-1
20190101191850,70,1,49,-1,0,3,-1,0,0,0,-1
20190101191903,70,1,38,-1,0,3,-1,0,0,0,-1
20190101192161,85,4,33,5,0,3,-1,60,0,0,0
20190101192173,85,4,34,6,0,2,-1,60,0,0,0
20190101192195,58,4,24,3,1,3,3,0,0,0,0
20190101192407,78,4,33,6,0,4,-1,0,0,0,0
20190101192460,85,4,44,7,0,5,-1,60,0,0,0
20190101192482,80,4,47,20,0,4,-1,60,0,0,0
20190111180555,79,4,33,2,0,4,-1,0,0,0,0
20190111180558,85,4,33,3,0,3,-1,60,0,0,0
20190111180579,54,1,43,-1,0,6,-1,0,0,0,-1
20190111180579,85,1,56,-1,0,7,-1,60,0,0,-1
20190111180613,79,4,33,4,0,4,-1,0,0,0,0
20190111180650,67,2,34,-1,0,4,-1,0,0,0,-1
20190111180809,78,4,33,3,0,4,-1,0,0,0,0
20190111180809,80,4,34,3,0,5,-1,0,0,0,0
20190111181048,85,4,39,2,0,5,-1,60,0,0,0
20190111181088,85,4,33,10,0,2,-1,60,0,0,0
20190111181108,85,4,34,2,0,3,-1,60,0,0,0
20190111181155,80,4,47,8,0,5,-1,60,0,0,0
20190111181155,61,2,49,-1,0,6,-1,0,0,0,-1
20190111181155,59,3,26,-1,1,2,2,0,0,0,-1
20190111181159,80,4,26,13,1,2,2,0,0,0,0
20190111181171,70,2,39,-1,0,5,-1,0,0,0,-1
20190111181171,78,2,56,-1,0,6,-1,0,0,0,-1
20190111181208,79,4,33,15,0,4,-1,0,0,0,0
20190111181257,64,4,33,12,0,5,-1,0,0,0,0
20190111181312,71,1,47,-1,0,5,-1,0,0,0,-1
20190111181359,65,4,33,2,0,3,-1,0,0,0,0
20190111181404,69,1,44,-1,0,2,-1,0,0,0,-1
20190111181436,75,4,34,7,0,3,-1,0,0,0,0
20190111181441,73,4,44,2,0,2,-1,0,0,0,0
20190111181807,75,4,39,4,0,3,-1,0,0,0,0
20190111181914,80,4,33,15,0,3,-1,60,0,0,0
20190111181935,85,3,33,-1,0,5,-1,60,0,0,-1
20190111182011,85,1,33,-1,0,2,-1,60,0,0,-1
20190111182106,85,4,44,2,0,6,-1,61,0,0,42
20190111182202,85,4,33,5,0,4,-1,0,0,0,0
20190111182330,85,4,47,10,0,6,-1,60,0,0,0
20190111182409,79,4,33,19,0,4,-1,0,0,0,0
20190111182433,80,3,47,-1,0,2,-1,60,0,0,-1
20190111182463,72,4,34,5,0,5,-1,0,0,0,0
20190112180022,78,4,33,35,0,2,-1,0,0,0,0
20190112180135,85,4,34,4,0,3,-1,60,0,0,0
20190112180135,85,4,33,4,0,4,-1,60,0,0,0
20190112180144,85,2,56,-1,0,5,-1,60,0,0,-1
20190112180152,80,4,34,1,0,5,-1,0,0,0,0
20190112180514,72,4,47,24,0,3,-1,0,0,0,0
20190112180514,80,4,48,24,0,4,-1,60,0,0,0
20190112180532,67,3,33,-1,0,5,-1,0,0,0,-1
20190112180532,78,2,41,-1,0,6,-1,0,0,0,-1
20190112180561,85,4,33,5,0,5,-1,60,0,0,0
20190112180566,85,4,33,3,0,4,-1,60,0,0,0
20190112180595,85,3,34,-1,0,3,-1,60,0,0,-1
20190112180601,71,1,43,-1,0,2,-1,0,0,0,-1
20190112180607,80,3,33,-1,0,2,-1,60,0,0,-1
20190112180630,80,4,20,18,1,2,2,0,0,0,0
20190112180650,71,4,33,3,0,3,-1,0,0,0,0
20190112180672,77,4,20,15,1,2,2,0,0,0,0
20190112180675,72,1,40,-1,0,6,-1,0,0,0,-1
20190112180698,71,4,44,12,0,5,-1,42,0,0,0
20190112180698,77,4,44,12,0,6,-1,42,0,0,0
20190112180698,85,4,44,12,0,7,-1,61,0,0,0
20190112180717,75,4,33,5,0,3,-1,0,0,0,0
20190112180717,52,4,38,2,0,4,-1,0,0,0,0
20190112180719,85,3,44,-1,0,6,-1,60,0,0,-1
20190112180719,72,3,44,-1,0,7,-1,0,0,0,-1
20190112180719,77,3,44,-1,0,8,-1,0,0,0,-1
20190112180736,71,2,33,-1,0,2,-1,0,0,0,-1
20190112180736,60,1,44,-1,0,3,-1,0,0,0,-1
20190112180744,80,1,38,-1,0,2,-1,0,0,0,-1
20190112180744,51,4,49,18,0,3,-1,0,0,0,0
20190112180744,80,3,43,-1,0,4,-1,60,0,0,-1
20190112180744,80,4,43,2,0,5,-1,60,0,0,0
20190112180762,85,4,33,10,0,2,-1,60,0,0,0
20190112180821,85,4,33,20,0,4,-1,60,0,0,0
20190112180848,80,4,33,20,0,2,-1,60,0,0,0
20190112180850,85,4,56,5,0,2,-1,60,0,0,0
20190112180852,62,4,37,10,0,2,-1,0,0,0,0
20190112180861,80,1,39,-1,0,4,-1,60,0,0,-1
20190112180862,79,4,40,15,0,3,-1,0,0,0,0
20190112180862,80,4,40,15,0,4,-1,60,0,0,0
20190112180863,78,4,33,8,0,2,-1,0,0,0,0
20190112180865,78,1,33,-1,0,4,-1,0,0,0,-1
20190112180914,80,2,43,-1,0,2,-1,0,0,0,-1
20190112180918,76,4,43,2,0,2,-1,0,0,0,0
20190112180918,78,4,43,2,0,3,-1,0,0,0,0
20190112180928,80,2,44,-1,0,3,-1,60,0,0,-1
20190112180936,73,3,56,-1,0,2,-1,0,0,0,-1
20190112180940,85,4,44,6,0,2,-1,60,0,0,0
20190112180940,85,4,44,5,0,3,-1,60,0,0,0
20190112180997,85,4,43,14,0,2,-1,60,0,0,0
20190112181081,78,4,56,3,0,3,-1,0,0,0,0
20190112181085,66,1,33,-1,0,5,-1,0,0,0,-1
20190112181116,80,4,33,3,0,4,-1,60,0,0,0
20190112181141,85,2,43,-1,0,3,-1,60,0,0,-1
20190112181141,75,1,43,-1,0,4,-1,0,0,0,-1
