,msa,state,fips,FIPS,CBSA,sex,q7_family_members,NO family,Family Available,usborn1a,q17,q38,party,ideo,qe3,age,educ,hisp,race,relig,income,phoneuse,recage,receduc,racethn,weight
0,35620,New Jersey,34017,34017,35620,Female,More than 20,0,1,"No, some other country",,North Carolina,Democrat,Conservative,Full-time,27,"College graduate (B.S., B.A., or other 4-year degree)",No,Asian,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000",Dual/most cell,25-34,COLLEGE+,Other,3.214285714
1,35620,New Jersey,34017,34017,35620,Female,1 up to 5,0,1,"Yes, born in U.S.",New Jersey,Connecticut,Democrat,Liberal,Part-time,26,High school graduate (Grade 12 or GED certificate),Yes,White,Nothing in particular,"$40,000 to under $50,000",Dual/most cell,25-34,HS GRAD,Hispanic,4.41509434
2,35620,New Jersey,34017,34017,35620,Female,6 up to 10,0,1,"Yes, born in U.S.",New Jersey,Virginia,Don't know/Refused,Don't know/Refused,Full-time,50,"Some college, no 4-year degree (including associate degree)",No,Black,Roman Catholic (Catholic),"$20,000 to under $30,000","Dual/few, some cell",45-54,SOME COLL,Black~H,4.094339623
3,35620,New Jersey,34003,34003,35620,Female,None,1,0,"No, some other country",,New Hampshire,Democrat,Liberal,Not employed,40,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Atheist (do not believe in God),"$75,000 to under $100,000","Dual/few, some cell",35-44,COLLEGE+,White~H,3.754716981
4,35620,New Jersey,34017,34017,35620,Female,1 up to 5,0,1,"Yes, born in U.S.",New Jersey,California,Democrat,Moderate,Not employed,80,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Jewish (Judaism),Don't know/Refused,"Dual/few, some cell",65+,COLLEGE+,White~H,1.619047619
5,35620,New Jersey,34003,34003,35620,Female,None,1,0,"Yes, born in U.S.",New Jersey,Virginia,Democrat,Conservative,Full-time,20,High school graduate (Grade 12 or GED certificate),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,CPO,18-24,HS GRAD,Black~H,6.071428571
6,35620,New Jersey,34013,34013,35620,Male,None,1,0,"Yes, born in U.S.",New York,New York,Republican,Moderate,Full-time,22,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000",Dual/most cell,18-24,COLLEGE+,White~H,1.895833333
7,47900,Maryland,24033,24033,47900,Female,1 up to 5,0,1,"Yes, born in U.S.",Mississippi,Maryland,Democrat,Moderate,Full-time,47,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,Black~H,1.8125
8,47900,Virginia,51600,51600,47900,Male,1 up to 5,0,1,"Yes, born in U.S.",Hawaii,California,Democrat,Very liberal,Full-time,25,"Some college, no 4-year degree (including associate degree)",No,Asian,Muslim (Islam),"$150,000 or more",CPO,25-34,SOME COLL,Other,6.071428571
9,35300,Connecticut,9009,09009,35300,Male,6 up to 10,0,1,"Yes, born in U.S.",Connecticut,North Carolina,Democrat,Very liberal,Full-time,48,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",45-54,SOME COLL,White~H,3.214285714
10,35300,Connecticut,9009,09009,35300,Female,None,1,0,"Yes, born in U.S.",New York,Connecticut,Democrat,Moderate,Not employed,81,Don't know/Refused,No,White,Agnostic (not sure if there is a God),"$20,000 to under $30,000","Dual/few, some cell",65+,,White~H,1.571428571
11,14860,Connecticut,9001,09001,14860,Female,None,1,0,"Yes, born in U.S.",Connecticut,California,Independent,Very liberal,Part-time,44,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000",LLO,35-44,SOME COLL,White~H,3.547619048
12,35300,Connecticut,9009,09009,35300,Female,1 up to 5,0,1,"No, some other country",,Illinois,Republican,Liberal,Not employed,68,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Jewish (Judaism),"Less than $10,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.018867925
13,35300,Connecticut,9009,09009,35300,Male,6 up to 10,0,1,Puerto Rico (VOL.),,Connecticut,Democrat,Liberal,Part-time,70,"Some college, no 4-year degree (including associate degree)",Yes,Don't know/Refused,Nothing in particular,"$20,000 to under $30,000",LLO,65+,SOME COLL,Hispanic,1.928571429
14,14860,Connecticut,9001,09001,14860,Male,1 up to 5,0,1,"Yes, born in U.S.",New York,Connecticut,Republican,Very conservative,Not employed,79,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000",LLO,65+,SOME COLL,White~H,1.875
15,35300,Connecticut,9009,09009,35300,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,Maine,Democrat,Liberal,Full-time,60,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",55-64,HS GRAD,White~H,3.666666667
16,14860,Connecticut,9001,09001,14860,Male,More than 20,0,1,"Yes, born in U.S.",New York,New York,Independent,Conservative,Full-time,41,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Roman Catholic (Catholic),"$150,000 or more","Dual/few, some cell",35-44,COLLEGE+,White~H,2.245283019
17,0,Mississippi,28071,28071,37060,Female,None,1,0,"Yes, born in U.S.",Alabama,Alabama,Republican,Very conservative,Not employed,21,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more",CPO,18-24,SOME COLL,White~H,2.264150943
18,13820,Alabama,1073,01073,13820,Male,1 up to 5,0,1,"Yes, born in U.S.",Mississippi,Alabama,Republican,Conservative,Full-time,60,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000",Dual/most cell,55-64,COLLEGE+,White~H,1
19,46220,Alabama,1125,01125,46220,Female,1 up to 5,0,1,"Yes, born in U.S.",Alabama,Alabama,No preference (VOL.),Moderate,Not employed,76,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,LLO,65+,HS GRAD,White~H,2.166666667
20,46220,Alabama,1125,01125,46220,Female,More than 20,0,1,"Yes, born in U.S.",Alabama,Alabama,Democrat,Moderate,Full-time,44,High school graduate (Grade 12 or GED certificate),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",35-44,HS GRAD,Black~H,5.047619048
21,13820,Alabama,1055,01055,23460,Male,11 up to 20,0,1,"Yes, born in U.S.",Alabama,Colorado,Republican,Moderate,Full-time,28,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000",CPO,25-34,HS GRAD,White~H,4.642857143
22,13820,Alabama,1073,01073,13820,Male,6 up to 10,0,1,"Yes, born in U.S.",Indiana,Montana,Independent,Conservative,Not employed,59,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",55-64,COLLEGE+,White~H,1.625
23,23460,Alabama,1055,01055,23460,Female,11 up to 20,0,1,"Yes, born in U.S.",Alabama,Alabama,Independent,Moderate,Full-time,55,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",Dual/most cell,55-64,HS GRAD,White~H,1.333333333
24,13820,Alabama,1115,01115,13820,Female,1 up to 5,0,1,"Yes, born in U.S.",Michigan,Hawaii,Independent,Moderate,Not employed,49,High school graduate (Grade 12 or GED certificate),No,Black,Nothing in particular,"$10,000 to under $20,000","Dual/few, some cell",45-54,HS GRAD,Black~H,2.25
25,13820,Alabama,1073,01073,13820,Female,None,1,0,"Yes, born in U.S.",Alabama,Alabama,Democrat,Don't know/Refused,Full-time,21,"Some college, no 4-year degree (including associate degree)",No,White,Christian (VOL.),Don't know/Refused,Dual/most cell,18-24,SOME COLL,White~H,1.471698113
26,0,Alabama,1023,01023,#N/A,Male,More than 20,0,1,"Yes, born in U.S.",Alabama,Alabama,Don't know/Refused,Don't know/Refused,Full-time,51,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",45-54,COLLEGE+,White~H,1.523809524
27,13820,Alabama,1021,01021,13820,Female,More than 20,0,1,"Yes, born in U.S.",Alabama,Alabama,Democrat,Liberal,Not employed,74,"None, or grade 1-8",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000",LLO,65+,LT HS,White~H,2.523809524
28,13820,Alabama,1115,01115,13820,Male,1 up to 5,0,1,"Yes, born in U.S.",Arizona,Alabama,Republican,Conservative,Full-time,51,"Some college, no 4-year degree (including associate degree)",Yes,White,Roman Catholic (Catholic),"$75,000 to under $100,000",Dual/most cell,45-54,SOME COLL,Hispanic,1.619047619
29,13820,Alabama,1073,01073,13820,Female,6 up to 10,0,1,"Yes, born in U.S.",Alabama,Alabama,Don't know/Refused,Moderate,Not employed,80,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000","Dual/few, some cell",65+,HS GRAD,White~H,3.333333333
30,13820,Alabama,1117,01117,13820,Male,None,1,0,"No, some other country",,Alabama,Republican,Conservative,Full-time,57,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000","Dual/few, some cell",55-64,SOME COLL,White~H,2.071428571
31,13820,Alabama,1117,01117,13820,Female,1 up to 5,0,1,"Yes, born in U.S.",Tennessee,Alabama,Republican,Conservative,Not employed,70,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$50,000 to under $75,000","Dual/few, some cell",65+,SOME COLL,White~H,1.245283019
32,42660,Washington,53033,53033,42660,Male,1 up to 5,0,1,"Yes, born in U.S.",Washington,Don't know/Refused,Independent,Moderate,Full-time,25,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",25-34,SOME COLL,White~H,5.5
33,42660,Washington,53053,53053,42660,Male,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Arizona,Republican,Conservative,Not employed,68,"Some college, no 4-year degree (including associate degree)",No,White,Nothing in particular,"$50,000 to under $75,000","Dual/few, some cell",65+,SOME COLL,White~H,1.528301887
34,42660,Washington,53033,53033,42660,Female,1 up to 5,0,1,"Yes, born in U.S.",California,Hawaii,Democrat,Liberal,Part-time,53,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Agnostic (not sure if there is a God),"$100,000 to under $150,000","Dual/few, some cell",45-54,COLLEGE+,White~H,3.833333333
35,42660,Washington,53033,53033,42660,Male,6 up to 10,0,1,"Yes, born in U.S.",Washington,Washington,Independent,Conservative,Not employed,53,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Buddhist,"$75,000 to under $100,000",CPO,45-54,COLLEGE+,White~H,3.020833333
36,42660,Washington,53035,53035,14740,Female,None,1,0,"Yes, born in U.S.",Connecticut,Massachusetts,Independent,Very liberal,Full-time,25,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Nothing in particular,"Less than $10,000",CPO,25-34,COLLEGE+,White~H,6.071428571
37,42660,Washington,53033,53033,42660,Male,None,1,0,"Yes, born in U.S.",Indiana,Washington,Democrat,Moderate,Full-time,45,"College graduate (B.S., B.A., or other 4-year degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more",Dual/most cell,45-54,COLLEGE+,Black~H,1.642857143
38,42660,Washington,53033,53033,42660,Female,None,1,0,"Yes, born in U.S.",California,California,Independent,Liberal,Not employed,26,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Atheist (do not believe in God),"$10,000 to under $20,000","Dual/few, some cell",25-34,COLLEGE+,White~H,5.119047619
39,42660,Washington,53033,53033,42660,Male,None,1,0,"No, some other country",,Washington,Democrat,Liberal,Not employed,46,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Nothing in particular,"$100,000 to under $150,000",CPO,45-54,COLLEGE+,White~H,3.380952381
40,42660,Washington,53033,53033,42660,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,Don't know/Refused,Don't know/Refused,Don't know/Refused,Not employed,20,"Some college, no 4-year degree (including associate degree)",No,Don't know/Refused,Atheist (do not believe in God),Don't know/Refused,Dual/most cell,18-24,SOME COLL,,4.238095238
41,0,Maine,23003,23003,#N/A,Female,More than 20,0,1,"Yes, born in U.S.",Maine,Maine,Independent,Moderate,Full-time,49,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000",Dual/most cell,45-54,HS GRAD,White~H,2.380952381
42,38860,Maine,23023,23023,38860,Male,11 up to 20,0,1,"Yes, born in U.S.",Maine,Alaska,Democrat,Conservative,Full-time,44,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",35-44,HS GRAD,White~H,4.333333333
43,38860,Maine,23031,23031,38860,Male,1 up to 5,0,1,"No, some other country",,Maine,Independent,Liberal,Not employed,43,High school incomplete (Grades 9-11),No,White,Roman Catholic (Catholic),"$30,000 to under $40,000",LLO,35-44,LT HS,White~H,4.261904762
44,0,Maine,23027,23027,#N/A,Male,1 up to 5,0,1,"Yes, born in U.S.",New York,Maine,Republican,Moderate,Full-time,38,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",35-44,SOME COLL,White~H,3.738095238
45,38860,Maine,23031,23031,38860,Female,More than 20,0,1,"Yes, born in U.S.",Maine,Maine,Democrat,Moderate,Part-time,18,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000",CPO,18-24,SOME COLL,White~H,3.375
46,38860,Maine,23005,23005,38860,Female,11 up to 20,0,1,"Yes, born in U.S.",Maine,Maine,No preference (VOL.),Liberal,Part-time,65,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","Less than $10,000","Dual/few, some cell",65+,HS GRAD,White~H,2.264150943
