,msa,state,FIPS,GTCBSA,sex,q7_family_members,NO family,Family Available,age,Education,income_short,recage,racethn,weight
11,14860,Connecticut,09001,14860,Female,None,1,0,44,some_college,10-20k,35-44,White~H,3.547619048
24,13820,Alabama,01115,13820,Female,1 up to 5,0,1,49,highschool,10-20k,45-54,Black~H,2.25
27,13820,Alabama,01021,13820,Female,More than 20,0,1,74,lt_highschool,10-20k,65+,White~H,2.523809524
29,13820,Alabama,01073,13820,Female,6 up to 10,0,1,80,highschool,10-20k,65+,White~H,3.333333333
38,42660,Washington,53033,42660,Female,None,1,0,26,post_college_degree,10-20k,25-34,White~H,5.119047619
50,30340,Maine,23001,30340,Female,1 up to 5,0,1,64,highschool,10-20k,55-64,White~H,3.238095238
63,32900,California,06047,32900,Male,None,1,0,25,highschool,10-20k,25-34,Black~H,2.20754717
74,41700,Texas,48029,41700,Female,6 up to 10,0,1,33,lt_highschool,10-20k,25-34,Black~H,3.830188679
75,41700,Texas,48029,41700,Male,None,1,0,30,lt_highschool,10-20k,25-34,Hispanic,6.071428571
104,37980,Pennsylvania,42045,37980,Female,1 up to 5,0,1,59,lt_highschool,10-20k,55-64,White~H,4.716981132
117,17460,Ohio,39103,17460,Male,1 up to 5,0,1,20,highschool,10-20k,18-24,White~H,3.5625
128,0,Minnesota,27007,13420,Male,More than 20,0,1,21,trade_school_hs,10-20k,18-24,Other,4.716981132
131,0,Minnesota,27167,47420,Male,11 up to 20,0,1,85,lt_highschool,10-20k,65+,White~H,3.571428571
138,16980,Indiana,18089,16980,Female,1 up to 5,0,1,82,trade_school_hs,10-20k,65+,White~H,2.5625
139,16980,Indiana,18181,,Male,6 up to 10,0,1,18,lt_highschool,10-20k,18-24,White~H,5.083333333
147,25060,South Carolina,45041,22500,Male,1 up to 5,0,1,52,lt_highschool,10-20k,45-54,Black~H,4.452380952
150,0,Georgia,13275,45620,Male,More than 20,0,1,57,highschool,10-20k,55-64,Black~H,2.245283019
186,33660,Florida,12011,33100,Male,None,1,0,26,post_college_degree,10-20k,25-34,Hispanic,1.754716981
194,0,North Carolina,37083,40260,Male,6 up to 10,0,1,27,some_college,10-20k,25-34,Black~H,2.791666667
196,0,North Carolina,37049,35100,Male,1 up to 5,0,1,49,highschool,10-20k,45-54,White~H,2.119047619
197,24780,North Carolina,37147,24780,Female,11 up to 20,0,1,55,post_college_degree,10-20k,55-64,White~H,1.0625
232,33340,Wisconsin,55133,33340,Male,11 up to 20,0,1,80,lt_highschool,10-20k,65+,White~H,2.622641509
233,33340,Wisconsin,55079,33340,Male,6 up to 10,0,1,58,some_college,10-20k,55-64,Black~H,3.377358491
235,33340,Wisconsin,55133,33340,Female,More than 20,0,1,62,highschool,10-20k,55-64,White~H,2.645833333
239,0,Wisconsin,55127,48580,Male,1 up to 5,0,1,44,lt_highschool,10-20k,35-44,Hispanic,5.285714286
251,37980,Pennsylvania,42101,37980,Male,More than 20,0,1,37,highschool,10-20k,35-44,Hispanic,6.071428571
253,35660,Michigan,26021,35660,Female,1 up to 5,0,1,38,lt_highschool,10-20k,35-44,White~H,4.245283019
278,0,Virginia,51021,,Female,More than 20,0,1,32,some_college,10-20k,25-34,White~H,3.75
283,26420,Texas,48201,26420,Female,More than 20,0,1,25,highschool,10-20k,25-34,White~H,5.5
284,26420,Texas,48201,26420,Male,6 up to 10,0,1,63,lt_highschool,10-20k,55-64,Hispanic,5.571428571
286,26420,Texas,48201,26420,Female,1 up to 5,0,1,67,lt_highschool,10-20k,65+,Hispanic,4.583333333
303,47900,Maryland,24033,47900,Male,6 up to 10,0,1,18,highschool,10-20k,18-24,Black~H,2.416666667
308,20100,Delaware,10001,20100,Male,6 up to 10,0,1,26,some_college,10-20k,25-34,White~H,2.490566038
344,0,West Virginia,54059,,Male,More than 20,0,1,63,lt_highschool,10-20k,55-64,White~H,3.716981132
347,16620,West Virginia,54039,16620,Female,1 up to 5,0,1,72,,10-20k,65+,White~H,1
386,41180,Missouri,29189,41180,Female,1 up to 5,0,1,52,highschool,10-20k,45-54,White~H,5.5
439,0,Iowa,19115,,Female,1 up to 5,0,1,26,college_degree,10-20k,25-34,White~H,1.041666667
454,31100,Washington,53063,44060,Male,None,1,0,40,highschool,10-20k,35-44,Hispanic,4.229166667
476,0,Alabama,01039,,Female,More than 20,0,1,55,post_college_degree,10-20k,55-64,White~H,1
506,35620,New York,36081,35620,Male,None,1,0,25,lt_highschool,10-20k,25-34,Hispanic,6.071428571
521,36740,Florida,12069,36740,Male,1 up to 5,0,1,84,highschool,10-20k,65+,White~H,1.833333333
533,38900,Washington,53011,38900,Male,1 up to 5,0,1,63,some_college,10-20k,55-64,White~H,1.433962264
539,47020,Texas,48469,47020,Female,1 up to 5,0,1,86,highschool,10-20k,65+,White~H,2.547619048
543,19660,Florida,12127,19660,Female,More than 20,0,1,25,some_college,10-20k,25-34,Black~H,3.208333333
554,39300,Rhode Island,44007,39300,Female,6 up to 10,0,1,95,highschool,10-20k,65+,White~H,3.595238095
562,0,Nebraska,31167,35740,Male,More than 20,0,1,77,lt_highschool,10-20k,65+,White~H,3.083333333
