CBSA Code,FIPS State Code,FIPS County Code
10700,1,95
11500,1,15
12220,1,81
13820,1,7
13820,1,9
13820,1,21
13820,1,73
13820,1,115
13820,1,117
13820,1,127
17980,1,113
18980,1,43
19300,1,3
19460,1,79
19460,1,103
20020,1,61
20020,1,67
20020,1,69
21460,1,31
22520,1,33
22520,1,77
23460,1,55
26620,1,83
26620,1,89
33660,1,97
33860,1,1
33860,1,51
33860,1,85
33860,1,101
37120,1,45
42460,1,71
42820,1,47
45180,1,37
45180,1,121
45980,1,109
46220,1,65
46220,1,107
46220,1,125
46740,1,17
11260,2,20
11260,2,170
21820,2,90
27940,2,110
28540,2,130
22380,4,5
29420,4,15
35700,4,23
37740,4,7
38060,4,13
38060,4,21
39140,4,25
40940,4,9
43320,4,17
43420,4,3
46060,4,19
49740,4,27
11660,5,19
12900,5,63
14180,5,93
15780,5,13
15780,5,103
20980,5,139
22220,5,7
22220,5,87
22220,5,143
22620,5,123
22900,5,33
22900,5,131
25460,5,9
25460,5,101
25760,5,107
26300,5,51
27860,5,31
27860,5,111
30780,5,45
30780,5,53
30780,5,85
30780,5,105
30780,5,119
30780,5,125
31620,5,27
31680,5,59
32820,5,35
34260,5,5
37500,5,55
38220,5,25
38220,5,69
38220,5,79
40780,5,115
40780,5,149
42620,5,145
45500,5,81
45500,5,91
12540,6,29
17020,6,7
17340,6,33
18860,6,15
20940,6,25
21700,6,23
23420,6,19
25260,6,31
31080,6,59
31080,6,37
31460,6,39
32900,6,47
33700,6,99
34900,6,55
37100,6,111
39780,6,103
39820,6,89
40140,6,65
40140,6,71
40900,6,17
40900,6,61
40900,6,67
40900,6,113
41500,6,53
41740,6,73
41860,6,1
41860,6,13
41860,6,75
41860,6,81
41860,6,41
41940,6,69
41940,6,85
42020,6,79
42100,6,87
42200,6,83
42220,6,97
43760,6,109
44700,6,77
45000,6,35
46020,6,57
46380,6,45
46700,6,95
47300,6,107
49700,6,101
49700,6,115
14500,8,13
14720,8,117
15860,8,43
17820,8,41
17820,8,119
18780,8,81
19740,8,1
19740,8,5
19740,8,14
19740,8,19
19740,8,31
19740,8,35
19740,8,39
19740,8,47
19740,8,59
19740,8,93
20420,8,67
20780,8,37
22660,8,69
22820,8,87
24060,8,45
24060,8,97
24300,8,77
24540,8,123
33940,8,85
39380,8,101
44460,8,107
44540,8,75
14860,9,1
25540,9,3
25540,9,7
25540,9,13
35300,9,9
35980,9,11
45860,9,5
49340,9,15
20100,10,1
37980,10,3
41540,10,5
47900,11,1
11580,12,27
15980,12,71
17500,12,51
18880,12,91
18880,12,131
19660,12,35
19660,12,127
23540,12,1
23540,12,41
26140,12,17
27260,12,3
27260,12,19
27260,12,31
27260,12,89
27260,12,109
28580,12,87
29380,12,23
29460,12,105
33100,12,11
33100,12,86
33100,12,99
34940,12,21
35840,12,81
35840,12,115
36100,12,83
36380,12,93
36740,12,69
36740,12,95
36740,12,97
36740,12,117
37260,12,107
37340,12,9
37460,12,5
37460,12,45
37860,12,33
37860,12,113
38940,12,85
38940,12,111
39460,12,15
42680,12,61
42700,12,55
45220,12,39
45220,12,65
45220,12,73
45220,12,129
45300,12,53
45300,12,57
45300,12,101
45300,12,103
45540,12,119
48100,12,49
10500,13,7
10500,13,95
10500,13,177
10500,13,273
10500,13,321
11140,13,249
11140,13,261
12020,13,59
12020,13,195
12020,13,219
12020,13,221
12060,13,13
12060,13,15
12060,13,35
12060,13,45
12060,13,57
12060,13,63
12060,13,67
12060,13,77
12060,13,85
12060,13,89
12060,13,97
12060,13,113
12060,13,117
12060,13,121
12060,13,135
12060,13,143
12060,13,149
12060,13,151
12060,13,159
12060,13,171
12060,13,199
12060,13,211
12060,13,217
12060,13,223
12060,13,227
12060,13,231
12060,13,247
12060,13,255
12060,13,297
12260,13,33
12260,13,73
12260,13,181
12260,13,189
12260,13,245
12460,13,87
15260,13,25
15260,13,127
15260,13,191
15660,13,129
16340,13,233
16860,13,47
16860,13,83
16860,13,295
17980,13,53
17980,13,145
17980,13,197
17980,13,215
18380,13,81
18460,13,137
19140,13,213
19140,13,313
20060,13,69
20140,13,167
20140,13,175
22340,13,17
23580,13,139
25980,13,179
25980,13,183
27600,13,157
27700,13,305
29300,13,285
31420,13,21
31420,13,79
31420,13,169
31420,13,207
31420,13,289
33300,13,9
33300,13,141
34220,13,71
40660,13,115
41220,13,39
42340,13,29
42340,13,51
42340,13,103
44340,13,31
44900,13,55
45580,13,293
45620,13,275
45700,13,277
45740,13,257
46660,13,27
46660,13,101
46660,13,173
46660,13,185
47080,13,209
47080,13,279
47580,13,153
47580,13,225
47580,13,235
48180,13,229
48180,13,299
25900,15,1
27980,15,5
27980,15,9
28180,15,7
46520,15,3
13940,16,11
14260,16,1
14260,16,15
14260,16,27
14260,16,45
14260,16,73
15420,16,31
15420,16,67
17660,16,55
25200,16,13
25200,16,25
25200,16,63
26820,16,19
26820,16,23
26820,16,51
27220,16,81
30300,16,69
30860,16,41
34140,16,57
34300,16,39
36620,16,75
38540,16,5
39940,16,43
39940,16,65
41760,16,17
46300,16,53
46300,16,83
14010,17,39
14010,17,113
15460,17,71
15900,17,57
16020,17,3
16060,17,77
16060,17,199
16460,17,121
16580,17,19
16580,17,53
16580,17,147
16660,17,29
16660,17,35
16980,17,31
16980,17,43
16980,17,63
16980,17,93
16980,17,111
16980,17,197
16980,17,37
16980,17,89
16980,17,97
19180,17,183
19340,17,73
19340,17,131
19340,17,161
19500,17,115
19940,17,103
20820,17,49
22800,17,67
23300,17,177
23660,17,95
27300,17,137
27300,17,171
28100,17,91
30660,17,107
31380,17,109
34500,17,81
36860,17,11
36860,17,99
36860,17,155
37140,17,127
37900,17,123
37900,17,143
37900,17,175
37900,17,179
37900,17,203
38700,17,105
39500,17,1
40300,17,141
40420,17,7
40420,17,201
41180,17,5
41180,17,13
41180,17,27
41180,17,83
41180,17,117
41180,17,119
41180,17,133
41180,17,163
44100,17,129
44100,17,167
44580,17,195
45380,17,21
11420,18,151
12140,18,33
13260,18,93
14020,18,105
14020,18,119
16980,18,73
16980,18,89
16980,18,111
16980,18,127
17140,18,29
17140,18,115
17140,18,161
18020,18,5
18220,18,41
18820,18,107
19540,18,1
21140,18,39
21780,18,129
21780,18,163
21780,18,173
23060,18,3
23060,18,179
23060,18,183
23140,18,23
24700,18,31
26540,18,69
26900,18,11
26900,18,13
26900,18,57
26900,18,59
26900,18,63
26900,18,81
26900,18,95
26900,18,97
26900,18,109
26900,18,133
26900,18,145
27540,18,37
27540,18,125
28340,18,113
29020,18,67
29200,18,7
29200,18,15
29200,18,157
30900,18,17
31140,18,19
31140,18,43
31140,18,61
31140,18,143
31140,18,175
31500,18,77
31980,18,53
33140,18,91
34620,18,35
35220,18,65
35860,18,79
37940,18,103
38500,18,99
39980,18,177
42980,18,71
43780,18,141
45460,18,21
45460,18,153
45460,18,165
45460,18,167
47180,18,83
47340,18,169
47700,18,85
47780,18,27
11180,19,169
14340,19,15
15460,19,57
16300,19,11
16300,19,105
16300,19,113
17540,19,45
19340,19,163
19780,19,49
19780,19,77
19780,19,121
19780,19,153
19780,19,181
20220,19,61
21840,19,101
22700,19,187
22800,19,111
26980,19,103
26980,19,183
32260,19,127
32380,19,33
32380,19,195
34700,19,139
35500,19,99
36540,19,85
36540,19,129
36540,19,155
36820,19,123
36900,19,51
36900,19,179
43580,19,149
43580,19,193
43980,19,41
44020,19,59
44740,19,21
47940,19,13
47940,19,17
47940,19,75
11680,20,35
11860,20,5
17700,20,125
19980,20,57
21380,20,111
23780,20,55
23780,20,93
24460,20,9
25700,20,51
26740,20,155
27920,20,61
28140,20,91
28140,20,103
28140,20,107
28140,20,121
28140,20,209
29940,20,45
30580,20,175
31740,20,149
31740,20,161
32700,20,113
36840,20,59
37660,20,99
38260,20,37
41140,20,43
41460,20,143
41460,20,169
45820,20,85
45820,20,87
45820,20,139
45820,20,177
45820,20,197
48620,20,15
48620,20,79
48620,20,95
48620,20,173
48620,20,191
12680,21,179
14540,21,3
14540,21,31
14540,21,61
14540,21,227
15820,21,217
17140,21,15
17140,21,23
17140,21,37
17140,21,77
17140,21,81
17140,21,117
17140,21,191
17300,21,47
17300,21,221
19220,21,21
19220,21,137
21060,21,93
21060,21,123
21060,21,163
21780,21,101
23180,21,5
23180,21,73
23980,21,9
23980,21,169
26580,21,19
26580,21,89
30460,21,17
30460,21,49
30460,21,67
30460,21,113
30460,21,209
30460,21,239
30940,21,121
30940,21,125
30940,21,235
31140,21,29
31140,21,103
31140,21,111
31140,21,185
31140,21,211
31140,21,215
31140,21,223
31580,21,107
32460,21,83
32500,21,161
33180,21,13
34460,21,11
34460,21,165
34460,21,173
34660,21,35
36980,21,59
36980,21,91
36980,21,149
37140,21,7
37140,21,139
37140,21,145
40080,21,151
40080,21,203
43700,21,199
46460,21,75
10780,22,43
10780,22,79
12820,22,67
12940,22,5
12940,22,33
12940,22,37
12940,22,47
12940,22,63
12940,22,77
12940,22,91
12940,22,121
12940,22,125
14220,22,117
19760,22,11
22860,22,115
25220,22,105
26380,22,57
26380,22,109
29180,22,1
29180,22,45
29180,22,55
29180,22,99
29180,22,113
29340,22,19
29340,22,23
33740,22,73
33740,22,111
34020,22,101
35020,22,29
35060,22,69
35380,22,51
35380,22,71
35380,22,75
35380,22,87
35380,22,89
35380,22,93
35380,22,95
35380,22,103
36660,22,97
40820,22,61
43340,22,15
43340,22,17
43340,22,31
43340,22,119
12300,23,11
12620,23,19
30340,23,1
38860,23,5
38860,23,23
38860,23,31
12580,24,3
12580,24,5
12580,24,13
12580,24,25
12580,24,27
12580,24,35
12580,24,510
15680,24,37
15700,24,19
19060,24,1
20660,24,41
25180,24,43
37980,24,15
41540,24,39
41540,24,45
41540,24,47
47900,24,21
47900,24,31
47900,24,9
47900,24,17
47900,24,33
12700,25,1
14460,25,21
14460,25,23
14460,25,25
14460,25,9
14460,25,17
24640,25,11
38340,25,3
39300,25,5
44140,25,13
44140,25,15
47240,25,7
49340,25,27
10300,26,91
10940,26,57
10980,26,7
11460,26,161
12980,26,25
13020,26,17
13660,26,107
15620,26,113
15620,26,165
17740,26,23
19820,26,163
19820,26,87
19820,26,93
19820,26,99
19820,26,125
19820,26,147
21540,26,41
22420,26,49
24340,26,15
24340,26,81
24340,26,117
24340,26,139
25880,26,59
26090,26,5
26340,26,61
26340,26,83
26960,26,67
27020,26,43
27100,26,75
28020,26,77
28020,26,159
29620,26,37
29620,26,45
29620,26,65
31220,26,105
31940,26,109
32100,26,103
33220,26,111
33780,26,115
34380,26,73
34740,26,121
35660,26,21
37020,26,155
40980,26,145
42300,26,33
43780,26,27
44780,26,149
45900,26,19
45900,26,55
45900,26,79
45900,26,89
10660,27,47
10820,27,41
12380,27,99
13420,27,7
14660,27,21
14660,27,35
20260,27,17
20260,27,137
