GTCBSA,NAME,ALAND,SQRT_ALAND,POP,LOG_POP,POP_DEN,L_POPDEN,POP15,L_POP15DEN,LOG_POP15,POP15_DEN,TUFINLWGT,AVG_FAMILY_TIME,AVG_FAMILY_IX,AVG_HHFAMILY_TIME,AVG_HHFAMILY_IX,AVG_NHFAMILY_TIME,AVG_NHFAMILY_IX,AVG_FRIEND_TIME,AVG_FRIEND_IX,AVG_CCC_TIME,AVG_CCC_IX,AVG_NHSOCIAL_TIME,AVG_NHFAMILY_SOCIAL_TIME_RATIO,AVG_TRIP_TO_NHFAMILY_DUR,RESP_COUNT
10180,"Abilene, TX",2743.4985275412,52.37841661926409,170669,5.23,62.21,1.79386020134267,136682,1.697403723200488,5.14,49.82,439091103.423083,262.64,0.79,222.81,0.68,58.83,0.49,20.45,0.18,313.49,0.56,392.77,0.19,3.24,35
10420,"Akron, OH",900.1930133196,30.003216716205614,703845,5.85,781.88,2.893140104291489,585501,2.813193887069551,5.77,650.42,831544598.995712,391.52,0.79,312.0,0.69,132.62,0.35,59.74,0.19,128.45,0.28,320.81,0.26,7.46,88
10580,"Albany-Schenectady-Troy, NY",2811.7268307414,53.0257185782654,880736,5.94,313.24,2.495877215295426,738712,2.419509665822141,5.87,262.73,868063878.51267,393.8,0.84,347.59,0.72,86.47,0.3,19.95,0.1,97.45,0.25,203.88,0.24,8.99,91
10740,"Albuquerque, NM",9283.3441123995,96.35011215561454,912108,5.96,98.25,1.992332559047464,743364,1.903524064471262,5.87,80.08,1085850503.928548,311.92,0.78,260.72,0.67,70.16,0.34,18.69,0.08,161.69,0.35,250.54,0.24,6.78,164
10900,"Allentown-Bethlehem-Easton, PA-NJ",1452.9758613084,38.117920474606166,837610,5.92,576.48,2.760784244778493,693420,2.678736837033605,5.84,477.24,1009460105.373612,286.56,0.83,243.81,0.73,57.36,0.28,45.0,0.21,127.61,0.33,229.97,0.18,5.4,86
11100,"Amarillo, TX",5150.9523532896,71.7701355250887,263776,5.42,51.21,1.709354775834396,206825,1.6036855496147,5.32,40.15,248974576.494336,315.14,0.8,274.37,0.66,54.61,0.36,42.83,0.1,151.04,0.35,248.47,0.27,6.04,28
11460,"Ann Arbor, MI",705.9991847337,26.570645169692437,367000,5.56,519.83,2.715861339533011,310358,2.643057683751453,5.49,439.6,535213258.335943,315.55,0.83,256.0,0.72,93.14,0.46,80.36,0.22,140.33,0.31,313.84,0.36,5.59,63
11540,"Appleton, WI",955.8019391778,30.916046629182716,235628,5.37,246.52,2.391852159058638,189484,2.297213195989642,5.28,198.25,268626818.26849,305.72,0.85,260.26,0.78,73.8,0.36,47.51,0.14,179.38,0.4,300.69,0.24,7.36,29
11700,"Asheville, NC",2032.6101110171999,45.08447749522223,454351,5.66,223.53,2.349335818117248,384385,2.276714494630292,5.58,189.11,525386505.731086,313.35,0.78,231.69,0.66,87.43,0.35,18.17,0.08,222.14,0.42,327.73,0.27,3.95,52
12020,"Athens-Clarke County, GA",1024.9441109622,32.01474833513767,208457,5.32,203.38,2.308308242998225,172939,2.227192306514036,5.24,168.73,241172118.702667,239.06,0.75,182.18,0.6,61.36,0.28,28.6,0.33,339.6,0.62,429.57,0.14,4.68,26
12060,"Atlanta-Sandy Springs-Alpharetta, GA",8685.6209008569,93.19667859348262,5862424,6.77,674.96,2.829278036099149,4669089,2.730435024186397,6.67,537.57,7388307735.91399,300.66,0.78,250.63,0.69,78.32,0.31,33.88,0.15,171.88,0.37,284.08,0.21,5.25,729
12100,"Atlantic City-Hammonton, NJ",555.5107834848,23.569276261370437,266105,5.43,479.03,2.680362712634758,219253,2.596256123102291,5.34,394.69,346120506.057587,275.5,0.76,154.1,0.61,132.24,0.51,29.57,0.17,173.61,0.48,335.42,0.29,8.9,33
12220,"Auburn-Opelika, AL",607.5391924602,24.648310133966586,161152,5.21,265.25,2.423655392573378,132430,2.338416648246358,5.12,217.98,206328233.948555,288.61,0.87,228.74,0.61,94.8,0.66,36.3,0.12,102.45,0.22,233.56,0.46,13.0,32
12260,"Augusta-Richmond County, GA-SC",3480.700021227,58.99745775223709,599616,5.78,172.27,2.236209653717059,484223,2.143389568994656,5.69,139.12,630648432.352212,358.3,0.9,308.53,0.75,73.65,0.38,19.96,0.05,73.51,0.21,167.12,0.29,4.08,72
12420,"Austin-Round Rock-Georgetown, TX",4219.4804623686,64.95752814238392,2114441,6.33,501.11,2.699933069478628,1701421,2.605552835812909,6.23,403.23,2302928712.501564,327.63,0.77,272.44,0.68,88.86,0.34,56.65,0.18,149.2,0.31,294.71,0.24,7.07,229
12540,"Bakersfield, CA",8134.599680064,90.19201561149413,887641,5.95,109.12,2.037904357312404,671039,1.916401303603876,5.83,82.49,1072708884.768799,368.42,0.87,337.26,0.79,52.42,0.26,24.74,0.08,50.12,0.13,127.27,0.22,4.18,85
12580,"Baltimore-Columbia-Towson, MD",2601.4955838299998,51.00485843358454,2796733,6.45,1075.05,3.031428663525221,2286511,2.943949347042262,6.36,878.92,3607388223.632899,297.87,0.75,236.52,0.64,83.22,0.33,42.11,0.21,176.85,0.42,302.17,0.22,5.75,315
12620,"Bangor, ME",3397.1779642086,58.2853151677899,151774,5.18,44.68,1.650113164443571,129234,1.580240508265376,5.11,38.04,181480366.073131,510.59,0.81,451.81,0.78,106.78,0.34,8.04,0.05,71.85,0.16,186.67,0.28,2.89,21
12700,"Barnstable Town, MA",394.2190026918,19.85494907300948,213496,5.33,541.57,2.733654598817204,187331,2.676876431973137,5.27,475.2,116993114.70648,412.27,0.81,332.38,0.69,110.73,0.31,71.01,0.38,31.73,0.06,213.46,0.24,2.55,15
12940,"Baton Rouge, LA",4370.6713335714,66.11105303632215,854318,5.93,195.47,2.291080112963527,686381,2.19601028659195,5.84,157.04,984417524.875998,302.73,0.7,224.48,0.6,104.64,0.35,76.32,0.2,111.65,0.28,292.6,0.28,5.96,110
12980,"Battle Creek, MI",706.2580474092,26.575515938720738,134212,5.13,190.03,2.278822168352688,108772,2.187548920861271,5.04,154.01,305953111.672738,345.71,0.78,300.34,0.73,72.4,0.32,30.74,0.23,117.07,0.27,220.21,0.27,6.32,38
13140,"Beaumont-Port Arthur, TX",2101.1235687585,45.83801445043731,395174,5.6,188.08,2.274342616116883,314987,2.175830604162249,5.5,149.91,442045987.626099,364.31,0.81,313.19,0.65,89.74,0.4,17.73,0.15,144.78,0.26,252.25,0.3,6.68,50
13460,"Bend, OR",3017.6005179177,54.932690794441335,186251,5.27,61.72,1.790425917391111,154982,1.710625015060797,5.19,51.36,339725696.96369797,342.31,0.81,320.46,0.76,62.21,0.28,9.15,0.08,101.76,0.36,173.12,0.2,2.56,43
13740,"Billings, MT",6477.9588621891,80.48576807230643,179071,5.25,27.64,1.441538038702161,144421,1.348110068480238,5.16,22.29,193047677.680408,277.12,0.83,216.12,0.8,97.11,0.36,60.77,0.2,162.25,0.46,320.13,0.24,5.33,22
13780,"Binghamton, NY",1224.3983250213,34.99140358747131,241874,5.38,197.55,2.295677034017465,202756,2.219060332448861,5.31,165.6,557243851.366028,408.8,0.84,361.21,0.71,95.24,0.43,49.55,0.15,102.31,0.22,247.09,0.36,5.11,63
13820,"Birmingham-Hoover, AL",4488.7127587731,66.99785637446246,1085330,6.04,241.79,2.383438335256656,877715,2.291235610848788,5.94,195.54,1448566913.764465,304.34,0.83,224.97,0.69,102.35,0.41,49.79,0.23,147.1,0.38,299.25,0.26,7.72,183
13980,"Blacksburg-Christiansburg, VA",1073.5807264182,32.76554175377236,166785,5.22,155.35,2.191311257590993,144722,2.129689892199301,5.16,134.8,170282742.030641,399.91,0.8,289.49,0.8,140.04,0.48,24.34,0.17,50.91,0.28,215.29,0.37,10.99,18
14010,"Bloomington, IL",1183.2410125107,34.39827048720183,172578,5.24,145.85,2.163906433457751,141515,2.077731179652392,5.15,119.6,279502807.130361,277.72,0.85,210.75,0.77,71.8,0.44,17.47,0.14,233.37,0.52,322.64,0.25,5.91,31
14020,"Bloomington, IN",779.8123549359,27.92512049993518,167296,5.22,214.53,2.331488032760532,144697,2.268460958684802,5.16,185.55,172387359.28328198,358.21,0.8,326.15,0.73,111.71,0.62,13.37,0.08,88.06,0.2,213.15,0.57,7.79,21
14260,"Boise City, ID",11766.5275601016,108.4736261037751,710743,5.85,60.4,1.781036938621132,561639,1.678791434366244,5.75,47.73,696224632.516344,414.57,0.87,364.77,0.77,95.06,0.4,40.79,0.2,148.61,0.35,284.47,0.28,5.87,103
14460,"Boston-Cambridge-Newton, MA-NH",3486.081344031,59.04304653412627,4832346,6.68,1386.18,3.141819628494412,4040437,3.06409093019543,6.61,1159.02,5563773705.895789,312.24,0.82,255.77,0.72,82.45,0.35,48.95,0.18,165.49,0.39,296.88,0.23,6.16,643
14500,"Boulder, CO",726.3792469791,26.951423839550667,322510,5.51,444.0,2.64738297011462,271539,2.572674150739064,5.43,373.83,502854649.410915,358.76,0.88,291.17,0.73,92.19,0.48,28.13,0.16,164.71,0.41,285.03,0.31,7.33,51
14540,"Bowling Green, KY",1615.0248189504,40.18737138642437,174498,5.24,108.05,2.03362477121926,141718,1.943247125137862,5.15,87.75,280773306.730783,356.06,0.77,328.69,0.75,57.16,0.34,2.55,0.05,131.51,0.34,191.21,0.25,6.08,31
14860,"Bridgeport-Stamford-Norwalk, CT",624.9661815969,24.99932362278828,943926,5.97,1510.36,3.179080475358847,769609,3.090413256366991,5.89,1231.44,950673602.879918,324.94,0.93,252.62,0.86,91.36,0.39,49.75,0.18,109.04,0.27,250.15,0.29,7.99,110
15180,"Brownsville-Harlingen, TX",891.7052862861,29.86143476603393,421666,5.62,472.88,2.674750946340831,314707,2.547688576129021,5.5,352.93,515782240.84231,330.67,0.94,267.13,0.89,76.58,0.31,13.98,0.11,248.44,0.53,338.99,0.19,3.39,44
15380,"Buffalo-Cheektowaga, NY",1565.0749090548,39.561027654180066,1130175,6.05,722.12,2.858609373480157,942004,2.779517127872229,5.97,601.89,1194314638.161883,287.79,0.77,220.77,0.63,90.02,0.44,45.47,0.19,189.66,0.46,325.16,0.27,4.12,134
15500,"Burlington, NC",423.4496827275,20.57789305851063,163324,5.21,385.7,2.586249638866042,133298,2.498020927582199,5.12,314.79,487281391.972603,349.43,0.89,310.01,0.79,98.6,0.46,36.61,0.12,128.03,0.3,263.23,0.39,9.87,45
